person_id,paper_id
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,3
9,3
10,3
11,3
12,3
13,4
14,4
15,4
16,4
17,4
18,5
19,5
20,5
21,5
22,5
23,6
24,6
25,6
26,7
27,7
28,7
29,7
30,8
31,8
32,8
33,8
34,8
35,9
36,9
37,9
38,9
39,10
40,10
41,10
42,11
43,11
44,12
45,12
46,12
47,12
48,12
49,12
50,13
51,13
52,14
53,15
54,15
55,15
56,15
57,16
58,16
59,16
60,16
61,16
62,17
63,17
64,17
65,17
66,17
67,18
68,18
69,18
70,19
71,19
72,20
73,20
74,20
75,21
76,21
77,21
78,22
79,22
80,22
81,22
82,23
83,23
84,23
85,24
86,24
87,24
88,24
89,25
90,25
91,26
92,26
93,26
94,26
95,27
96,27
97,27
98,27
99,27
100,28
101,28
102,29
103,29
104,30
105,30
106,30
107,30
108,31
109,31
110,31
111,32
11,32
112,33
113,33
114,33
115,33
116,33
117,33
118,34
119,34
120,34
121,34
122,34
123,34
124,35
125,35
126,36
127,36
128,36
129,36
130,37
131,37
132,37
133,38
134,38
135,38
136,39
137,39
138,39
139,39
140,39
141,39
142,40
143,40
144,40
145,40
146,41
147,41
148,42
149,42
150,42
151,43
152,43
153,43
154,44
155,44
156,45
157,45
158,45
159,45
160,45
161,46
162,46
155,46
163,46
164,47
165,47
166,47
167,47
168,48
169,48
170,49
171,49
172,49
173,49
174,49
175,49
176,50
177,50
178,50
179,51
180,51
181,51
182,51
183,52
184,52
185,52
186,52
187,52
188,52
189,53
190,53
191,53
192,54
193,54
194,54
195,55
196,55
197,55
198,55
199,56
200,56
201,56
202,56
203,56
204,57
205,57
206,57
207,58
208,58
209,58
210,58
211,59
212,59
213,60
214,60
215,61
216,61
217,61
218,62
219,62
220,63
221,63
222,63
223,64
224,64
225,64
226,64
227,64
228,65
229,65
230,65
231,66
101,66
232,67
233,67
234,67
235,68
236,68
142,68
237,68
238,69
239,69
240,70
137,70
138,70
139,70
140,70
141,70
241,71
242,71
243,71
244,72
144,72
245,73
246,74
247,74
248,75
249,75
250,75
251,76
252,76
253,76
114,76
116,76
254,77
255,77
256,77
257,77
258,78
259,78
110,78
34,78
260,79
261,79
262,79
263,79
264,79
265,80
266,80
267,81
189,81
268,81
191,81
269,82
270,82
271,82
272,83
273,83
274,84
275,84
276,85
240,85
277,85
138,85
141,85
205,85
278,86
279,86
280,86
281,86
282,87
283,87
284,87
285,88
286,88
287,88
288,88
289,89
290,89
291,90
275,90
292,91
293,91
294,91
295,91
296,92
129,92
297,92
127,92
298,92
299,92
300,93
301,93
302,93
303,93
304,93
305,94
306,94
307,95
308,95
309,95
310,96
311,96
312,97
313,97
314,97
315,98
316,98
317,98
318,99
319,99
320,99
321,99
322,99
323,100
324,100
325,100
326,101
327,101
328,101
329,101
330,101
331,101
199,101
332,102
333,102
334,103
205,103
335,104
336,104
337,104
338,105
339,105
142,105
340,106
341,106
342,106
343,107
344,107
345,107
76,107
77,107
346,107
347,108
348,108
107,108
349,109
350,109
351,109
352,109
353,110
275,110
354,111
355,111
252,111
356,111
116,111
81,111
102,112
103,112
357,113
358,113
359,114
11,114
360,115
361,115
362,116
363,116
364,116
365,116
366,117
367,117
368,118
369,118
99,118
97,118
140,119
370,119
325,119
371,120
372,120
244,120
373,120
374,121
284,121
375,121
376,122
377,122
284,122
378,122
379,123
380,123
381,124
382,124
383,124
79,124
137,125
384,125
140,125
385,125
107,126
106,126
104,126
386,127
387,127
388,127
389,127
390,127
391,128
392,128
393,129
243,129
394,130
395,130
396,130
397,131
398,131
399,131
400,132
401,132
402,132
403,133
404,133
405,134
406,134
407,134
408,134
409,135
410,135
411,135
412,135
413,135
414,135
415,136
416,136
417,137
418,137
419,138
420,138
421,138
231,139
101,139
422,140
423,140
424,141
425,141
426,142
427,142
428,142
43,143
429,143
430,144
431,144
432,144
433,144
127,145
296,145
129,145
297,145
434,146
435,146
436,146
437,146
438,146
198,147
439,147
440,147
196,147
195,147
197,147
279,148
280,148
441,148
442,148
443,149
444,149
47,150
445,150
446,150
48,150
217,150
447,151
219,151
448,152
179,152
181,152
103,152
102,152
449,153
98,153
99,153
96,153
97,153
450,154
451,154
452,155
453,155
454,155
455,155
456,156
457,156
458,156
279,157
459,157
460,158
461,158
462,158
291,159
463,159
275,159
464,160
465,160
466,160
467,160
468,160
322,160
469,161
470,161
471,161
472,161
473,161
474,161
475,161
476,162
477,162
478,162
479,162
155,162
480,163
433,163
481,163
370,163
140,163
482,164
483,164
484,164
485,164
61,165
58,165
60,165
30,166
32,166
486,166
34,166
357,167
487,167
488,167
489,168
149,168
490,168
491,169
492,169
110,169
284,169
102,170
493,170
494,170
103,170
35,171
495,171
496,172
497,172
498,172
499,173
500,174
47,175
501,176
502,177
503,177
504,177
